DATE,steps,weight_kg,total_burned_kcal,calories_eaten,active_kcal,basal_kcal
2023-12-08,36053.0,90.97,4180.749000000018,,1903.1640000000016,2277.5850000000164
2023-12-09,12968.0,91.33,3264.488999999998,,1058.745,2205.7439999999983
2023-12-10,38420.0,91.624,3838.829000000004,,1540.2539999999997,2298.575000000005
2023-12-11,29486.0,91.047,3530.6190000000024,,1239.966,2290.653000000002
2023-12-12,28446.0,92.192,3275.6230000000005,,1037.868,2237.755000000001
2023-12-13,29454.0,91.91,3726.111000000003,,1414.9319999999998,2311.1790000000037
2023-12-14,44151.0,91.84,3825.435000000003,,1439.686,2385.749000000003
2023-12-15,41966.0,90.384,4152.848000000006,,1905.9120000000012,2246.9360000000047
2023-12-16,53469.0,89.723,4655.830000000006,,2293.7400000000007,2362.0900000000056
2023-12-17,28677.0,88.815,3184.668,,907.3789999999996,2277.2890000000007
2023-12-18,33622.0,90.209,3779.275999999996,,1571.491,2207.784999999996
2023-12-19,6106.0,89.094,2451.2330000000024,,356.609,2094.6240000000025
2023-12-20,32821.0,88.31,4013.3380000000025,,1692.948,2320.3900000000026
2023-12-21,26594.0,89.608,2821.4610000000043,,775.356,2046.1050000000043
2023-12-22,38643.0,89.943,4194.602000000001,,1877.6619999999996,2316.9400000000014
2023-12-23,16258.0,87.283,3405.7430000000004,,1143.0470000000005,2262.6960000000004
2023-12-24,5569.0,88.68,2359.323000000001,,249.65500000000003,2109.668000000001
2023-12-25,31598.0,91.128,3788.222999999994,,1630.188,2158.034999999994
2023-12-26,43680.0,89.581,4134.188999999989,,1914.16,2220.02899999999
2023-12-27,9297.0,,1448.822,,355.103,1093.7189999999998
2023-12-28,12358.0,89.451,2684.5099999999984,,541.4560000000001,2143.0539999999983
2023-12-29,18009.0,90.009,2803.059,,720.8629999999999,2082.196
2023-12-30,32705.0,89.959,3771.9940000000015,,1617.5320000000006,2154.462000000002
2023-12-31,39991.0,89.777,4297.003000000007,,2021.038,2275.965000000007
2024-01-01,4160.0,89.78,2441.259,,325.83000000000004,2115.429
2024-01-02,21786.0,90.367,3016.4030000000057,,804.9639999999999,2211.4390000000058
2024-01-03,17335.0,90.32,2957.965000000001,,743.572,2214.3930000000014
2024-01-04,17791.0,91.027,2824.5550000000017,,655.761,2168.7940000000017
2024-01-05,27128.0,90.033,3722.852000000004,,1416.935,2305.917000000004
2024-01-06,40460.0,87.987,3410.625000000005,,1114.108,2296.5170000000057
2024-01-07,7912.0,91.098,2868.494000000004,,813.271,2055.223000000004
2024-01-08,14673.0,90.014,2877.1130000000035,,659.2780000000002,2217.835000000003
2024-01-09,17215.0,91.617,2739.494000000001,,713.7989999999998,2025.6950000000013
2024-01-10,16857.0,91.418,2465.5199999999986,,1146.283,1319.236999999999
2024-01-11,35085.0,90.75,4134.987000000011,,1889.099,2245.888000000011
2024-01-12,20103.0,89.547,3604.368,,1364.4769999999996,2239.891000000001
2024-01-13,13676.0,86.856,2469.794000000001,,545.3419999999996,1924.4520000000011
2024-01-14,11738.0,87.782,1814.892,,434.34200000000016,1380.5499999999995
2024-01-15,35545.0,91.38,4070.354000000097,,1816.420000000004,2253.9340000000934
2024-01-16,19985.0,91.6,2961.318000000028,,912.1069999999968,2049.211000000031
2024-01-17,39285.0,93.333,4442.687999999995,,2106.2559999999994,2336.4319999999952
2024-01-18,39221.0,,4814.195760000008,,2563.9387600000005,2250.257000000008
2024-01-19,23716.0,88.149,3963.763000000008,,1565.6649999999995,2398.0980000000086
2024-01-20,23205.0,87.105,3528.66400000001,,1297.2489999999998,2231.4150000000104
2024-01-21,9231.0,,2687.5180000000014,,489.9990000000001,2197.519000000001
2024-01-22,17321.0,,3578.148000000002,,1219.472,2358.6760000000017
2024-01-23,23718.0,,4096.926000000005,,1755.518999999999,2341.407000000006
2024-01-24,14664.0,,2915.5850000000028,,654.5520000000001,2261.033000000002
2024-01-25,29410.0,,3396.089999999997,,1099.0760000000005,2297.0139999999965
2024-01-26,53949.0,,4228.645999999984,,1880.8200000000008,2347.825999999984
2024-01-27,30929.0,,2584.369000000004,,1140.0719999999997,1444.2970000000037
2024-01-28,60607.0,,4680.39400000006,,2302.434000000039,2377.960000000021
2024-01-29,54903.0,,4100.543000000011,,1825.1569999999992,2275.386000000012
2024-01-30,7603.0,91.312,2907.649000000001,,562.89,2344.759000000001
2024-01-31,1118.0,92.407,933.795,,15.755,918.04
2024-02-01,2443.0,91.905,2532.875,,317.2650000000001,2215.61
2024-02-02,8040.0,90.973,2389.1980000000026,,322.078,2067.1200000000026
2024-02-03,23108.0,,3091.7699999999986,,775.6979999999995,2316.071999999999
2024-02-04,9826.0,,2419.952000000003,,344.421,2075.531000000003
2024-02-05,12781.0,,2827.048,,588.83,2238.218
2024-02-06,25080.0,,3220.0080000000016,,877.5900000000005,2342.418000000001
2024-02-07,20973.0,92.228,2898.7159999999985,,698.8889999999989,2199.827
2024-02-08,14441.0,92.946,3121.1850000000013,,919.783,2201.4020000000014
2024-02-09,21683.0,,3522.9560000000047,,1254.318,2268.6380000000045
2024-02-10,20074.0,90.889,3118.456999999997,,815.2249999999995,2303.2319999999977
2024-02-11,6832.0,92.641,2535.889,,411.5199999999999,2124.369
2024-02-12,35762.0,94.297,4687.371,,2202.481,2484.8900000000003
2024-02-13,31970.0,95.308,4585.51,,2181.684,2403.8260000000005
2024-02-14,22245.0,,3616.809,,1359.3409999999997,2257.4680000000003
2024-02-15,27536.0,94.511,5750.102999999979,,3354.713999999998,2395.388999999981
2024-02-16,18432.0,96.153,3410.340000000001,,1165.2229999999995,2245.117000000002
2024-02-17,34285.0,94.795,3981.447,,1602.03,2379.417
2024-02-18,9704.0,93.946,2672.492,,502.5610000000001,2169.931
2024-02-19,8858.0,95.237,2973.14,,701.708,2271.432
2024-02-20,2324.0,95.684,722.9860000000002,,5.061,717.9250000000002
2024-02-21,1205.0,97.911,1296.5920000000003,,0.0,1296.5920000000003
2024-02-22,31586.0,96.515,5110.316999999996,,2691.891,2418.4259999999954
2024-02-23,21743.0,95.621,3853.0979999999927,,2065.525999999999,1787.571999999994
2024-02-24,23572.0,93.147,2885.7189999999964,,1072.4749999999997,1813.2439999999967
2024-02-25,30070.0,95.19,4013.335716369966,,2194.886716369995,1818.448999999971
2024-02-26,7941.0,97.512,1143.9819999999995,,0.0,1143.9819999999995
2024-02-27,22559.0,97.634,4167.017,,1710.735,2456.2819999999992
2024-02-28,48654.0,96.944,5213.992999999999,,2701.478,2512.514999999999
2024-02-29,39972.0,96.87,5255.131,,2806.501,2448.63
2024-03-01,37467.0,95.407,5083.024,,2588.2280000000005,2494.796
2024-03-02,49431.0,94.485,5769.594624100547,,3352.9996241005497,2416.594999999997
2024-03-03,13981.0,93.914,5045.32714800423,,2922.5831480042284,2122.744000000002
2024-03-04,38769.0,96.608,4450.285,,2351.884,2098.401
2024-03-05,11524.0,96.585,3695.442999999998,,1258.8689999999997,2436.5739999999983
2024-03-06,43764.0,97.743,5112.418,,2651.707,2460.711
2024-03-07,11492.0,97.372,3685.650999999999,,1247.8900000000006,2437.7609999999986
2024-03-08,33747.0,97.968,4943.730000000006,,2474.662000000001,2469.0680000000048
2024-03-09,5892.0,95.488,2623.871,,439.368,2184.503
2024-03-10,29850.0,96.646,5233.384999999999,,940.708,4292.677
2024-03-11,18770.0,,2990.908999999997,,1076.7839999999992,1914.1249999999973
2024-03-12,13195.0,,4926.393999999999,,829.0679999999995,4097.326
2024-03-13,20894.0,,5608.506999999998,,1361.6779999999994,4246.828999999998
2024-03-14,13624.0,,5235.239000000001,,1046.815,4188.424000000002
2024-03-15,10744.0,,5642.911000000001,,1308.7960000000005,4334.115000000001
2024-03-16,29930.0,,5782.975,,1460.5670000000005,4322.407999999999
2024-03-17,6311.0,,4594.826999999999,,419.474,4175.352999999999
2024-03-18,11729.0,,4917.157999999995,,650.9479999999998,4266.209999999996
2024-03-19,16751.0,,5640.336000000003,,1285.525,4354.811000000002
2024-03-20,29068.0,,5293.462000000003,,921.496,4371.966000000003
2024-03-21,11862.0,,5100.124999999996,,817.2419999999997,4282.882999999997
2024-03-22,9600.0,,5297.337,,1071.0670000000002,4226.27
2024-03-23,25974.0,,5327.918999999999,,1027.9459999999997,4299.972999999999
2024-03-24,22099.0,,5681.628000000004,,1377.4359999999997,4304.192000000005
2024-03-25,11559.0,,4815.984999999995,,584.4990000000001,4231.485999999995
